song_id,score,release_year,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit,song_type,followers,popularity,artist_type,main_genre
000u1dTg7y1XCDXi80hbBX,133,1989,300440,7,1,4,0.181,0.763,0.44,0.000457,0.114,-13.11,0.0388,0.421,120.492,False,Solo,226699.0,61.0,band,dance pop
002pGYO81GoXdB8uNqB4w8,35,2009,215814,2,1,4,0.0063,0.6,0.153,0.855,0.0559,-14.028,0.0492,0.255,172.05,False,Solo,11647.0,28.0,-,-
003FTlCpBTM4eSqYSWPv4H,485,2003,233267,7,1,4,6.48e-05,0.553,0.717,0.128,0.0385,-5.857,0.0318,0.318,127.947,False,Solo,1545572.0,72.0,band,modern rock
003eoIwxETJujVWmNFMoZy,268,2018,193680,1,0,4,0.0822,0.353,0.755,0.0,0.39,-6.276,0.733,0.437,191.153,False,Solo,5856419.0,84.0,singer,canadian contemporary r&b
004ZH9ISUSEwansKKbUdJs,1209,1994,291800,7,1,4,0.236,0.348,0.924,0.0,0.102,-3.048,0.0945,0.0869,114.117,False,Solo,243179.0,56.0,-,album rock
006yvCdaWUS79qp2Ip3Hdl,814,1971,179147,5,1,4,0.487,0.409,0.902,0.00358,0.035,-5.714,0.1,0.728,135.797,False,Solo,1817.0,22.0,-,-
007n10xGvSbc7dKgAORVIq,1492,2003,231347,10,1,4,0.142,0.668,0.65,0.000325,0.0956,-4.351,0.0228,0.577,103.954,False,Solo,427967.0,63.0,singer,arkansas country
00BHe2yBtdOzhKPmI7rpTE,2249,2004,235067,7,1,4,0.023,0.818,0.579,0.0,0.107,-4.475,0.101,0.354,89.987,True,Solo,2008347.0,81.0,singer,dance pop
00FDHurakzVEiPutdUxXXq,659,1984,277053,2,0,4,0.169,0.655,0.705,0.0139,0.0698,-8.529,0.0285,0.749,97.007,False,Solo,133930.0,59.0,-,dance rock
00FU5uypELwgQuM9IbFC6G,453,2002,209053,9,0,5,0.0918,0.6,0.583,0.0,0.0992,-6.617,0.281,0.763,126.517,False,Solo,25209.0,47.0,singer,dancehall
00GfGwzlSB8DoA0cDP2Eit,963,1990,259267,5,1,4,0.226,0.743,0.86,0.000422,0.0513,-6.346,0.0445,0.687,102.459,False,Solo,567042.0,62.0,singer,dance pop
00IH8ZjI9ZGB51WRX1Oesj,3,2015,203613,7,0,3,0.067,0.609,0.487,0.0,0.166,-8.444,0.168,0.474,72.674,False,Solo,29740214.0,94.0,singer,canadian pop
00IrSynHsun7DpDrLkRIjM,62,1987,239693,2,1,4,0.479,0.62,0.703,0.0,0.14,-7.854,0.0836,0.559,136.155,False,Solo,1075140.0,74.0,singer,classic rock
00J4DmF13ppCBIq89cVbAE,245,2001,196320,5,0,1,0.164,0.694,0.775,0.0,0.307,-6.501,0.461,0.752,84.456,True,Collaboration,716786.0,67.0,rapper,alternative hip hop
00Mb3DuaIH1kjrwOku9CGU,1448,2002,204000,0,1,4,6.79e-05,0.487,0.9,0.0,0.358,-4.417,0.0482,0.484,149.937,False,Solo,4816952.0,80.0,singer,canadian pop
00NAQYOP4AmWR549nnYJZu,110,2016,265600,0,1,4,0.0155,0.665,0.771,9.6e-06,0.46,-5.779,0.0533,0.764,109.945,False,Solo,16909290.0,90.0,singer,canadian contemporary r&b
00ODCfwZix0sfqSfBYT18Z,465,1985,196693,11,1,4,0.246,0.403,0.848,0.0,0.616,-11.615,0.0625,0.622,149.028,False,Solo,98250.0,59.0,-,album rock
00PLtXXER1XcTRZvs3LioS,1013,1976,147000,2,1,4,0.332,0.894,0.568,0.0281,0.0666,-13.207,0.0952,0.742,106.025,False,Solo,170042.0,57.0,band,classic soul
00Qi1pQPiMxsnnlZG2bpTC,924,1973,174027,9,1,4,0.0581,0.621,0.682,3.87e-06,0.0815,-7.429,0.0511,0.711,89.573,False,Solo,381211.0,61.0,singer,classic soul
00RYiT3a2lNQ1wTKBQXWSw,533,2008,207013,0,0,4,0.213,0.85,0.687,0.0,0.0724,-5.995,0.308,0.502,149.989,True,Collaboration,824.0,31.0,band,-
00U45bMLJ8QM1kwT9i6cIL,119,1968,181040,0,1,4,0.00817,0.302,0.595,0.0,0.374,-6.875,0.0348,0.7,207.475,False,Solo,89984.0,57.0,singer,brill building pop
00XXUBsdOe8cLPo2p64Dd3,992,1983,273187,4,1,4,0.0342,0.473,0.952,3.84e-05,0.275,-3.561,0.0531,0.78,152.007,False,Solo,701693.0,72.0,singer,album rock
00boa7LL0M0FvUOslpdGCR,262,1979,270032,0,1,4,0.000878,0.504,0.724,6.92e-05,0.212,-8.552,0.0386,0.523,143.999,False,Solo,20491.0,35.0,band,alternative pop
00cs7mlkTcIIoWnm8G0U0l,395,1970,188253,0,1,4,0.755,0.407,0.47,0.0216,0.0976,-8.64,0.037,0.227,138.471,False,Solo,3524115.0,78.0,singer,album rock
00da5UpHHr2CcmAedVX3Be,1864,2005,219187,9,0,4,0.0476,0.901,0.391,0.0,0.102,-4.421,0.0934,0.77,100.018,True,Collaboration,2008347.0,81.0,singer,dance pop
00drgzklCYUPHnEDRi7ROJ,86,1983,333560,9,1,4,0.0961,0.49,0.719,0.000175,0.12,-7.87,0.0355,0.864,181.448,False,Solo,5254.0,34.0,singer,album rock
00gV7ZurTj4V4su0RWSEzd,180,1965,318613,10,1,4,0.894,0.639,0.446,0.0114,0.922,-15.618,0.0531,0.765,116.805,False,Solo,2532.0,25.0,singer,-
00gvX9sFwh19OH88f4v4jW,9,2005,189160,7,1,4,0.000379,0.232,0.968,0.136,0.938,-5.597,0.102,0.419,188.686,False,Solo,98225.0,47.0,band,blues-rock
00i2HU7TEzzftShjRrDSEF,1197,1999,268960,7,1,4,0.0404,0.865,0.657,0.0,0.14,-6.722,0.076,0.316,111.115,True,Collaboration,355.0,61.0,-,-
00iVYbSh1B77akx1ITNWUL,218,1989,257920,4,1,4,0.00409,0.373,0.884,0.0,0.329,-7.707,0.0421,0.28,130.099,False,Solo,37423.0,37.0,band,glam metal
00kG3Kz2rxem4XswOmtF3s,20,1964,102587,4,1,4,0.804,0.407,0.737,0.0,0.123,-7.741,0.0417,0.925,150.053,False,Solo,1355.0,15.0,band,-
00klbNctBWN9HFIOqxC8Xl,360,1993,291600,7,1,4,0.14,0.676,0.543,8.29e-06,0.0601,-9.986,0.027,0.543,107.995,False,Solo,156070.0,60.0,band,album rock
00kvKlIvfzQLSi6T2zwXuS,1693,1977,299067,7,0,4,0.276,0.731,0.617,0.0142,0.134,-11.644,0.0529,0.765,90.94,False,Solo,170042.0,57.0,band,classic soul
00p615Q4EFYMIAr055wqRu,1038,1994,361307,2,0,4,0.0386,0.555,0.86,0.0,0.325,-5.965,0.038,0.468,108.594,False,Solo,1980801.0,80.0,singer,album rock
00qOE7OjRl0BpYiCiweZB2,928,1982,259800,9,1,4,0.0828,0.357,0.653,0.0,0.0844,-5.554,0.0654,0.522,176.647,False,Solo,1271556.0,73.0,band,album rock
