song_id,release_year,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,artist_type,genre,hit,duration_log,followers_log
000u1dTg7y1XCDXi80hbBX,1989,G,0.181,0.763,0.44,0.000457,0.114,-13.11,0.0388,0.421,120.492,61.0,band,pop,0,12.613006674246012,12.33138283649562
002pGYO81GoXdB8uNqB4w8,2009,D,0.0063,0.6,0.153,0.855,0.0559,-14.028,0.0492,0.255,172.05,28.0,-,unknown,0,12.282176838194994,9.362889770436468
003FTlCpBTM4eSqYSWPv4H,2003,G,6.48e-05,0.553,0.717,0.128,0.0385,-5.857,0.0318,0.318,127.947,72.0,band,country,0,12.359943286150113,14.250905273343708
003eoIwxETJujVWmNFMoZy,2018,"C♯, D♭",0.0822,0.353,0.755,0.0,0.39,-6.276,0.733,0.437,191.153,84.0,singer,soul/r&b,0,12.173967754754331,15.58304905336291
004ZH9ISUSEwansKKbUdJs,1994,G,0.236,0.348,0.924,0.0,0.102,-3.048,0.0945,0.0869,114.117,56.0,-,rock,1,12.583827342069748,12.40155718885041
006yvCdaWUS79qp2Ip3Hdl,1971,F,0.487,0.409,0.902,0.00358,0.035,-5.714,0.1,0.728,135.797,22.0,-,unknown,0,12.09596755884159,7.505492274737424
007n10xGvSbc7dKgAORVIq,2003,"A♯, B♭",0.142,0.668,0.65,0.000325,0.0956,-4.351,0.0228,0.577,103.954,63.0,singer,country,1,12.35167834938747,12.96680370541365
00BHe2yBtdOzhKPmI7rpTE,2004,G,0.023,0.818,0.579,0.0,0.107,-4.475,0.101,0.354,89.987,81.0,singer,pop,1,12.367630112971401,14.51282305155078
00FDHurakzVEiPutdUxXXq,1984,D,0.169,0.655,0.705,0.0139,0.0698,-8.529,0.0285,0.749,97.007,59.0,-,rock,0,12.531967712018378,11.805080020940316
00FU5uypELwgQuM9IbFC6G,2002,A,0.0918,0.6,0.583,0.0,0.0992,-6.617,0.281,0.763,126.517,47.0,singer,reggae,0,12.25034787078008,10.134996020181966
00GfGwzlSB8DoA0cDP2Eit,1990,F,0.226,0.743,0.86,0.000422,0.0513,-6.346,0.0445,0.687,102.459,62.0,singer,pop,0,12.465617554732658,13.248190417576858
00IH8ZjI9ZGB51WRX1Oesj,2015,G,0.067,0.609,0.487,0.0,0.166,-8.444,0.168,0.474,72.674,94.0,singer,pop,0,12.223981323573465,17.208010728290933
00IrSynHsun7DpDrLkRIjM,1987,D,0.479,0.62,0.703,0.0,0.14,-7.854,0.0836,0.559,136.155,74.0,singer,rock,0,12.387118388820076,13.887962373733512
